LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Value_pct_growth
ITA,INDPROD,TOT,IDX2015,M,1981-01,94.78555,
ITA,INDPROD,TOT,IDX2015,M,1981-02,95.25771,
ITA,INDPROD,TOT,IDX2015,M,1981-03,95.13967,
ITA,INDPROD,TOT,IDX2015,M,1981-04,95.37575,
ITA,INDPROD,TOT,IDX2015,M,1981-05,96.4381,
ITA,INDPROD,TOT,IDX2015,M,1981-06,96.32006,
ITA,INDPROD,TOT,IDX2015,M,1981-07,94.78555,
ITA,INDPROD,TOT,IDX2015,M,1981-08,93.84124,
ITA,INDPROD,TOT,IDX2015,M,1981-09,95.13967,
ITA,INDPROD,TOT,IDX2015,M,1981-10,95.13967,
ITA,INDPROD,TOT,IDX2015,M,1981-11,95.84791,
ITA,INDPROD,TOT,IDX2015,M,1981-12,92.42477,
ITA,INDPROD,TOT,IDX2015,M,1982-01,96.67418,
ITA,INDPROD,TOT,IDX2015,M,1982-02,94.19535,
ITA,INDPROD,TOT,IDX2015,M,1982-03,92.5428,
ITA,INDPROD,TOT,IDX2015,M,1982-04,95.72987,
ITA,INDPROD,TOT,IDX2015,M,1982-05,91.95261,
ITA,INDPROD,TOT,IDX2015,M,1982-06,89.11967,
ITA,INDPROD,TOT,IDX2015,M,1982-07,92.42477,
ITA,INDPROD,TOT,IDX2015,M,1982-08,90.65417,
ITA,INDPROD,TOT,IDX2015,M,1982-09,91.00829,
ITA,INDPROD,TOT,IDX2015,M,1982-10,90.06398,
ITA,INDPROD,TOT,IDX2015,M,1982-11,88.52946,
ITA,INDPROD,TOT,IDX2015,M,1982-12,89.47379,
ITA,INDPROD,TOT,IDX2015,M,1983-01,89.70986,
ITA,INDPROD,TOT,IDX2015,M,1983-02,89.35574,
ITA,INDPROD,TOT,IDX2015,M,1983-03,88.88358,
ITA,INDPROD,TOT,IDX2015,M,1983-04,88.41143,
ITA,INDPROD,TOT,IDX2015,M,1983-05,87.113,
ITA,INDPROD,TOT,IDX2015,M,1983-06,87.46712,
ITA,INDPROD,TOT,IDX2015,M,1983-07,89.8279,
ITA,INDPROD,TOT,IDX2015,M,1983-08,91.24437,
ITA,INDPROD,TOT,IDX2015,M,1983-09,89.35574,
ITA,INDPROD,TOT,IDX2015,M,1983-10,89.8279,
ITA,INDPROD,TOT,IDX2015,M,1983-11,91.48045,
ITA,INDPROD,TOT,IDX2015,M,1983-12,91.83457,
ITA,INDPROD,TOT,IDX2015,M,1984-01,92.30672,
ITA,INDPROD,TOT,IDX2015,M,1984-02,88.88358,
ITA,INDPROD,TOT,IDX2015,M,1984-03,90.53613,
ITA,INDPROD,TOT,IDX2015,M,1984-04,89.47379,
ITA,INDPROD,TOT,IDX2015,M,1984-05,93.25104,
ITA,INDPROD,TOT,IDX2015,M,1984-06,93.7232,
ITA,INDPROD,TOT,IDX2015,M,1984-07,90.77222,
ITA,INDPROD,TOT,IDX2015,M,1984-08,96.32006,
ITA,INDPROD,TOT,IDX2015,M,1984-09,94.43143,
ITA,INDPROD,TOT,IDX2015,M,1984-10,93.95927,
ITA,INDPROD,TOT,IDX2015,M,1984-11,91.83457,
ITA,INDPROD,TOT,IDX2015,M,1984-12,93.95927,
ITA,INDPROD,TOT,IDX2015,M,1985-01,90.65417,
ITA,INDPROD,TOT,IDX2015,M,1985-02,94.78555,
ITA,INDPROD,TOT,IDX2015,M,1985-03,93.48712,
ITA,INDPROD,TOT,IDX2015,M,1985-04,92.5428,
ITA,INDPROD,TOT,IDX2015,M,1985-05,93.84124,
ITA,INDPROD,TOT,IDX2015,M,1985-06,94.66751,
ITA,INDPROD,TOT,IDX2015,M,1985-07,93.25104,
