LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Valuelog,growth
ITA,INDPROD,TOT,IDX2015,M,1981-01,94.78555,4.551616971,
ITA,INDPROD,TOT,IDX2015,M,1981-02,95.25771,4.556585956,
ITA,INDPROD,TOT,IDX2015,M,1981-03,95.13967,4.555346022,
ITA,INDPROD,TOT,IDX2015,M,1981-04,95.37575,4.557824353,
ITA,INDPROD,TOT,IDX2015,M,1981-05,96.4381,4.568901352,
ITA,INDPROD,TOT,IDX2015,M,1981-06,96.32006,4.567676604,
ITA,INDPROD,TOT,IDX2015,M,1981-07,94.78555,4.551616971,
ITA,INDPROD,TOT,IDX2015,M,1981-08,93.84124,4.541604418,
ITA,INDPROD,TOT,IDX2015,M,1981-09,95.13967,4.555346022,
ITA,INDPROD,TOT,IDX2015,M,1981-10,95.13967,4.555346022,
ITA,INDPROD,TOT,IDX2015,M,1981-11,95.84791,4.562762664,
ITA,INDPROD,TOT,IDX2015,M,1981-12,92.42477,4.526395016,
ITA,INDPROD,TOT,IDX2015,M,1982-01,96.67418,4.571346355,
ITA,INDPROD,TOT,IDX2015,M,1982-02,94.19535,4.545370817,
ITA,INDPROD,TOT,IDX2015,M,1982-03,92.5428,4.52767124,
ITA,INDPROD,TOT,IDX2015,M,1982-04,95.72987,4.561530371,
ITA,INDPROD,TOT,IDX2015,M,1982-05,91.95261,4.521273336,
ITA,INDPROD,TOT,IDX2015,M,1982-06,89.11967,4.489980073,
ITA,INDPROD,TOT,IDX2015,M,1982-07,92.42477,4.526395016,
ITA,INDPROD,TOT,IDX2015,M,1982-08,90.65417,4.507051937,
ITA,INDPROD,TOT,IDX2015,M,1982-09,91.00829,4.510950601,
ITA,INDPROD,TOT,IDX2015,M,1982-10,90.06398,4.500520307,
ITA,INDPROD,TOT,IDX2015,M,1982-11,88.52946,4.483335378,
ITA,INDPROD,TOT,IDX2015,M,1982-12,89.47379,4.493945733,
ITA,INDPROD,TOT,IDX2015,M,1983-01,89.70986,4.496580685,
ITA,INDPROD,TOT,IDX2015,M,1983-02,89.35574,4.492625481,
ITA,INDPROD,TOT,IDX2015,M,1983-03,88.88358,4.487327424,
ITA,INDPROD,TOT,IDX2015,M,1983-04,88.41143,4.48200126,
ITA,INDPROD,TOT,IDX2015,M,1983-05,87.113,4.467206126,
ITA,INDPROD,TOT,IDX2015,M,1983-06,87.46712,4.471262951,
ITA,INDPROD,TOT,IDX2015,M,1983-07,89.8279,4.497895617,
ITA,INDPROD,TOT,IDX2015,M,1983-08,91.24437,4.513541292,
ITA,INDPROD,TOT,IDX2015,M,1983-09,89.35574,4.492625481,
ITA,INDPROD,TOT,IDX2015,M,1983-10,89.8279,4.497895617,
ITA,INDPROD,TOT,IDX2015,M,1983-11,91.48045,4.516125288,
ITA,INDPROD,TOT,IDX2015,M,1983-12,91.83457,4.519988806,
ITA,INDPROD,TOT,IDX2015,M,1984-01,92.30672,4.525116945,
ITA,INDPROD,TOT,IDX2015,M,1984-02,88.88358,4.487327424,
ITA,INDPROD,TOT,IDX2015,M,1984-03,90.53613,4.505748998,
ITA,INDPROD,TOT,IDX2015,M,1984-04,89.47379,4.493945733,
ITA,INDPROD,TOT,IDX2015,M,1984-05,93.25104,4.535295211,
ITA,INDPROD,TOT,IDX2015,M,1984-06,93.7232,4.540345757,
ITA,INDPROD,TOT,IDX2015,M,1984-07,90.77222,4.508353292,
ITA,INDPROD,TOT,IDX2015,M,1984-08,96.32006,4.567676604,
ITA,INDPROD,TOT,IDX2015,M,1984-09,94.43143,4.547873963,
ITA,INDPROD,TOT,IDX2015,M,1984-10,93.95927,4.54286139,
ITA,INDPROD,TOT,IDX2015,M,1984-11,91.83457,4.519988806,
ITA,INDPROD,TOT,IDX2015,M,1984-12,93.95927,4.54286139,
ITA,INDPROD,TOT,IDX2015,M,1985-01,90.65417,4.507051937,
ITA,INDPROD,TOT,IDX2015,M,1985-02,94.78555,4.551616971,
ITA,INDPROD,TOT,IDX2015,M,1985-03,93.48712,4.537823673,
ITA,INDPROD,TOT,IDX2015,M,1985-04,92.5428,4.52767124,
ITA,INDPROD,TOT,IDX2015,M,1985-05,93.84124,4.541604418,
ITA,INDPROD,TOT,IDX2015,M,1985-06,94.66751,4.550370858,
ITA,INDPROD,TOT,IDX2015,M,1985-07,93.25104,4.535295211,
ITA,INDPROD,TOT,IDX2015,M,1985-08,96.08398,4.565222601,
ITA,INDPROD,TOT,IDX2015,M,1985-09,93.60516,4.53908551,
ITA,INDPROD,TOT,IDX2015,M,1985-10,93.01496,4.53276034,
ITA,INDPROD,TOT,IDX2015,M,1985-11,95.13967,4.555346022,
ITA,INDPROD,TOT,IDX2015,M,1985-12,94.19535,4.545370817,
ITA,INDPROD,TOT,IDX2015,M,1986-01,95.96594,4.563993337,
ITA,INDPROD,TOT,IDX2015,M,1986-02,96.4381,4.568901352,
ITA,INDPROD,TOT,IDX2015,M,1986-03,97.38242,4.578645702,
ITA,INDPROD,TOT,IDX2015,M,1986-04,97.85458,4.583482499,
ITA,INDPROD,TOT,IDX2015,M,1986-05,95.37575,4.557824353,
ITA,INDPROD,TOT,IDX2015,M,1986-06,97.26437,4.577432735,
ITA,INDPROD,TOT,IDX2015,M,1986-07,98.56281,4.59069401,
ITA,INDPROD,TOT,IDX2015,M,1986-08,98.79889,4.59308637,
ITA,INDPROD,TOT,IDX2015,M,1986-09,97.85458,4.583482499,
ITA,INDPROD,TOT,IDX2015,M,1986-10,97.73653,4.582275389,
ITA,INDPROD,TOT,IDX2015,M,1986-11,97.50046,4.579857096,
ITA,INDPROD,TOT,IDX2015,M,1986-12,100.2154,4.607321869,
ITA,INDPROD,TOT,IDX2015,M,1987-01,95.72987,4.561530371,
ITA,INDPROD,TOT,IDX2015,M,1987-02,98.68085,4.591890905,
ITA,INDPROD,TOT,IDX2015,M,1987-03,99.97928,4.604962965,
ITA,INDPROD,TOT,IDX2015,M,1987-04,101.8679,4.623676876,
ITA,INDPROD,TOT,IDX2015,M,1987-05,102.3401,4.628301581,
ITA,INDPROD,TOT,IDX2015,M,1987-06,100.8056,4.61319391,
ITA,INDPROD,TOT,IDX2015,M,1987-07,99.97928,4.604962965,
ITA,INDPROD,TOT,IDX2015,M,1987-08,99.7432,4.602598883,
ITA,INDPROD,TOT,IDX2015,M,1987-09,100.4514,4.609674028,
ITA,INDPROD,TOT,IDX2015,M,1987-10,103.0483,4.63519781,
ITA,INDPROD,TOT,IDX2015,M,1987-11,102.5761,4.630604962,
ITA,INDPROD,TOT,IDX2015,M,1987-12,101.0416,4.615532313,
ITA,INDPROD,TOT,IDX2015,M,1988-01,105.9993,4.66343249,
ITA,INDPROD,TOT,IDX2015,M,1988-02,104.5828,4.649979102,
ITA,INDPROD,TOT,IDX2015,M,1988-03,105.9993,4.66343249,
ITA,INDPROD,TOT,IDX2015,M,1988-04,105.291,4.656727945,
ITA,INDPROD,TOT,IDX2015,M,1988-05,105.7632,4.661202633,
ITA,INDPROD,TOT,IDX2015,M,1988-06,106.8256,4.671197598,
